"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","0","","Adding products to cart","","","","""Товар уже в корзине, вы хотите добавить еще одну единицу товара?"" should be displayed when add the same product twice",""
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","0","","Adding products to cart","","","","One product should be add to cart",""
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","0","","Adding products to cart","","","","Button to send review is available",""
"passed","Tue May 14 22:14:52 MSK 2024","Tue May 14 22:15:01 MSK 2024","8358","","Sorting products","","","","Sorted items by brand should contain BRAN in title",""
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","10","","Compare products","","","","""Пока не добавлено ни одного товара для сравнения"" should be displayed when there is nothing to compare",""
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","0","","Adding products to Favorites","","","","favorites page is clear after deletin added products",""
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","1","","Adding products to Favorites","","","","add product to favorites after logged in",""
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","1","","Compare products","","","","Several products should be added for comparing",""
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","0","","Adding products to Favorites","","","","Modal Popup login should be displayed when user try to add product to favorites without logged in",""
"skipped","Tue May 14 22:15:01 MSK 2024","Tue May 14 22:15:01 MSK 2024","0","","Promotions of products","","","","""Картой рассрочки"" should contain each product in the list",""
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","0","","Adding products to cart","","","","Final price of the order must be equal to the sum of the prices of the items.",""
"passed","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:52 MSK 2024","8040","","Sorting products","","","","Price of products should not exceed the established maximum",""
"skipped","Tue May 14 22:14:44 MSK 2024","Tue May 14 22:14:44 MSK 2024","0","","Adding products to cart","","","","""В корзине еще нет товаров"" should be displayed after emptying your cart of items.",""
